91 135
1 1 2
2 1 3
3 1 4
4 2 5
5 2 8
6 2 21
7 3 10
8 3 18
9 3 30
10 4 6
11 4 14
12 4 20
13 5 9
14 6 7
15 6 13
16 6 16
17 7 11
18 7 12
19 7 19
20 8 77
21 9 15
22 10 59
23 11 49
24 12 31
25 12 32
26 12 39
27 13 24
28 14 25
29 14 48
30 14 51
31 15 17
32 15 41
33 15 42
34 16 23
35 16 27
36 17 54
37 17 58
38 18 19
39 18 26
40 18 36
41 19 22
42 19 83
43 20 70
44 21 33
45 21 34
46 22 81
47 23 67
48 23 73
49 24 29
50 24 56
51 24 69
52 25 72
53 25 78
54 26 79
55 27 28
56 27 61
57 28 38
58 29 35
59 30 46
60 31 44
61 32 56
62 33 50
63 34 40
64 35 37
65 35 45
66 36 87
67 37 52
68 38 43
69 39 52
70 39 55
71 39 62
72 40 60
73 41 66
74 41 70
75 41 89
76 42 79
77 43 47
78 43 68
79 43 71
80 44 71
81 44 88
82 45 57
83 45 59
84 46 60
85 46 64
86 47 49
87 48 52
88 49 65
89 50 83
90 51 84
91 52 53
92 53 54
93 54 63
94 55 88
95 56 58
96 56 73
97 57 67
98 58 90
99 59 64
100 60 71
101 60 76
102 61 86
103 62 75
104 63 64
105 64 67
106 65 75
107 65 90
108 66 76
109 66 85
110 67 82
111 68 75
112 68 89
113 69 74
114 70 80
115 70 82
116 70 84
117 71 86
118 72 87
119 73 84
120 74 76
121 75 78
122 76 88
123 77 78
124 78 80
125 79 82
126 79 86
127 80 87
128 81 85
129 82 83
130 83 85
131 84 91
132 85 90
133 86 89
134 87 91
135 88 91
1 4
	0 82 17 201
	1 89 12 225
	2 91 25 186
	3 89 19 203
2 5
	4 91 7 140
	5 89 11 120
	6 80 18 87
	7 96 19 98
	8 95 16 109
3 7
	9 84 18 159
	10 90 27 136
	11 88 11 192
	12 85 20 150
	13 83 14 174
	14 92 12 198
	15 87 25 134
4 5
	16 96 42 483
	17 85 61 350
	18 82 71 312
	19 99 37 525
	20 80 52 374
5 4
	21 99 14 202
	22 84 18 159
	23 87 20 157
	24 87 16 172
6 8
	25 92 10 137
	26 85 14 110
	27 87 13 118
	28 95 9 151
	29 92 17 110
	30 98 19 113
	31 98 8 158
	32 95 20 103
7 6
	33 88 60 329
	34 95 56 368
	35 99 30 489
	36 83 38 385
	37 87 47 363
	38 94 25 484
8 8
	39 94 68 383
	40 88 44 462
	41 99 54 476
	42 98 49 496
	43 94 29 555
	44 94 63 417
	45 86 39 471
	46 83 58 373
9 4
	47 85 46 342
	48 92 41 393
	49 94 58 326
	50 88 50 334
10 7
	51 88 25 193
	52 91 34 163
	53 84 29 174
	54 94 13 255
	55 88 18 225
	56 92 20 225
	57 87 23 202
11 8
	58 92 54 350
	59 89 63 304
	60 82 33 392
	61 89 46 375
	62 92 29 443
	63 93 42 392
	64 91 59 325
	65 90 25 447
12 7
	66 86 37 391
	67 91 50 345
	68 96 33 433
	69 93 29 441
	70 98 58 354
	71 83 41 345
	72 91 54 329
13 6
	73 85 32 279
	74 89 19 354
	75 96 35 309
	76 80 39 240
	77 93 22 344
	78 82 48 204
14 7
	79 93 18 132
	80 89 10 155
	81 84 12 143
	82 88 15 138
	83 98 20 137
	84 89 21 118
	85 93 13 152
15 5
	86 89 33 477
	87 90 66 364
	88 82 47 387
	89 81 37 440
	90 90 42 454
16 8
	91 96 24 139
	92 91 17 158
	93 86 10 179
	94 96 20 158
	95 92 26 128
	96 84 19 146
	97 99 22 153
	98 92 13 179
17 8
	99 91 46 386
	100 89 63 296
	101 82 59 279
	102 90 55 335
	103 96 38 432
	104 92 33 428
	105 90 25 466
	106 83 42 369
18 8
	107 87 33 195
	108 89 20 257
	109 80 23 221
	110 91 25 242
	111 84 38 175
	112 92 28 229
	113 81 18 250
	114 85 30 201
19 4
	115 81 15 73
	116 87 10 106
	117 88 12 97
	118 85 11 96
20 6
	119 86 26 232
	120 99 31 237
	121 86 20 253
	122 94 39 200
	123 85 15 268
	124 94 33 224
21 4
	125 93 47 392
	126 84 61 305
	127 96 34 471
	128 80 30 410
22 7
	129 87 23 182
	130 98 15 243
	131 89 25 178
	132 99 19 225
	133 82 32 142
	134 99 27 191
	135 82 30 148
23 4
	136 97 10 173
	137 88 14 147
	138 84 23 104
	139 84 15 132
24 8
	140 82 59 332
	141 98 54 423
